Ellipsis (0 = no, 1 = yes)	English sentence																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	The other children asked me about the movie "" Midnight Express, "" which I had not seen; they inquired how many cigarettes a day I smoked, because they thought all Turks were heavy smokers, and they wondered at what age I would start covering my hair.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I came to learn that these were the three main stereotypes about my country: politics, cigarettes and the veil.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	After Spain, we went to Jordan, Germany and Ankara again.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Everywhere I went, I felt like my imagination was the only suitcase I could take with me.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Stories gave me a sense of center, continuity and coherence, the three big Cs that I otherwise lacked.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	In my mid-twenties, I moved to Istanbul, the city I adore.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I lived in a very vibrant, diverse neighborhood where I wrote several of my novels.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I was in Istanbul when the earthquake hit in 1999.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	When I ran out of the building at three in the morning, I saw something that stopped me in my tracks.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	There was the local grocer there — a grumpy, old man who did n't sell alcohol and did n't speak to marginals.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	He was sitting next to a transvestite with a long black wig and mascara running down her cheeks.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I watched the man open a pack of cigarettes with trembling hands and offer one to her, and that is the image of the night of the earthquake in my mind today — a conservative grocer and a crying transvestite smoking together on the sidewalk.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	In the face of death and destruction, our mundane differences evaporated, and we all became one even if for a few hours.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	But I've always believed that stories, too, have a similar effect on us.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I'm not saying that fiction has the magnitude of an earthquake, but when we are reading a good novel, we leave our small, cozy apartments behind, go out into the night alone and start getting to know people we had never met before and perhaps had even been biased against.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
1	Shortly after, I went to a women's college in Boston, then Michigan.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I experienced this, not so much as a geographical shift, as a linguistic one.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I started writing fiction in English.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I'm not an immigrant, refugee or exile — they ask me why I do this — but the commute between languages gives me the chance to recreate myself.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I love writing in Turkish, which to me is very poetic and very emotional, and I love writing in English, which to me is very mathematical and cerebral.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	So I feel connected to each language in a different way.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	For me, like millions of other people around the world today, English is an acquired language.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	When you're a latecomer to a language, what happens is you live there with a continuous and perpetual frustration.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	As latecomers, we always want to say more, you know, crack better jokes, say better things, but we end up saying less because there's a gap between the mind and the tongue.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And that gap is very intimidating.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	But if we manage not to be frightened by it, it's also stimulating.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And this is what I discovered in Boston — that frustration was very stimulating.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	At this stage, my grandmother, who had been watching the course of my life with increasing anxiety, started to include in her daily prayers that I urgently get married so that I could settle down once and for all.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And because God loves her, I did get married.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	(Laughter) But instead of settling down, I went to Arizona.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And since my husband is in Istanbul, I started commuting between Arizona and Istanbul — the two places on the surface of earth that could n't be more different.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I guess one part of me has always been a nomad, physically and spiritually.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Stories accompany me, keeping my pieces and memories together, like an existential glue.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Yet as much as I love stories, recently, I've also begun to think that they lose their magic if and when a story is seen as more than a story.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And this is a subject that I would love to think about together.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	When my first novel written in English came out in America, I heard an interesting remark from a literary critic.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I liked your book, he said, "but I wish you had written it differently."																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	(Laughter) I asked him what he meant by that.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	He said, "" Well, look at it. There's so many Spanish, American, Hispanic characters in it, but there's only one Turkish character and it's a man. "" Now the novel took place on a university campus in Boston, so to me, it was normal that there be more international characters in it than Turkish characters, but I understood what my critic was looking for.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And I also understood that I would keep disappointing him.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	He wanted to see the manifestation of my identity.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	He was looking for a Turkish woman in the book because I happened to be one.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	We often talk about how stories change the world, but we should also see how the world of identity politics affects the way stories are being circulated, read and reviewed.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Many authors feel this pressure, but non - Western authors feel it more heavily.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	If you're a woman writer from the Muslim world, like me, then you are expected to write the stories of Muslim women and, preferably, the unhappy stories of unhappy Muslim women.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	You're expected to write informative, poignant and characteristic stories and leave the experimental and avant - garde to your Western colleagues.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	What I experienced as a child in that school in Madrid is happening in the literary world today.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
1	Writers are not seen as creative individuals on their own, but as the representatives of their respective cultures: a few authors from China, a few from Turkey, a few from Nigeria.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	We're all thought to have something very distinctive, if not peculiar.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	The writer and commuter James Baldwin gave an interview in 1984 in which he was repeatedly asked about his homosexuality.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	When the interviewer tried to pigeonhole him as a gay writer, Baldwin stopped and said, "" But do n't you see? There's nothing in me that is not in everybody else, and nothing in everybody else that is not in me. "" When identity politics tries to put labels on us, it is our freedom of imagination that is in danger.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	There's a fuzzy category called multicultural literature in which all authors from outside the Western world are lumped together.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I never forget my first multicultural reading, in Harvard Square about 10 years ago.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	We were three writers, one from the Philippines, one Turkish and one Indonesian — like a joke, you know.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	(Laughter) And the reason why we were brought together was not because we shared an artistic style or a literary taste.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	It was only because of our passports.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Multicultural writers are expected to tell real stories, not so much the imaginary.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	A function is attributed to fiction.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	In this way, not only the writers themselves, but also their fictional characters become the representatives of something larger.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	But I must quickly add that this tendency to see a story as more than a story does not solely come from the West.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	It comes from everywhere.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And I experienced this firsthand when I was put on trial in 2005 for the words my fictional characters uttered in a novel.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I had intended to write a constructive, multi-layered novel about an Armenian and a Turkish family through the eyes of women.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	My micro story became a macro issue when I was prosecuted.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Some people criticized, others praised me for writing about the Turkish - Armenian conflict.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
